  ;US_ID;Description;Acceptance Criterias;Priority;Point;Assign;Test Type;;;;;;;;;;;;;;;;;;
;;;/api/deleteCategory/{id} endpoint'inden donen response body icindeki Deleted Category Id bilgisinin /api/deleteCategory/{id} endpoint'inde yazan id path parametresi ile ayni oldugu dogrulanmali.;;;;;;;;;;;;;;;;;;;;;;
;;;"API uzerinden silinmek istenen course category kaydinin silindigi, API uzerinden dogrulanmali.
(Response body'de dönen Deleted Category Id ile /api/category/{id} endpoint'ine GET request gönderilerek kaydýn silindiði doðrulanabilir.)";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Course Price Plans;US_011;Bir yönetici olarak API baðlantýsý üzerinden course price plans'e eriþebilmek istiyorum.;"/api/pricePlans endpoint'ine gecerli authorization bilgileri ile bir GET request gönderildiginde dönen status code'in 200 ve response body'deki remark bilgisinin ""success"" oldugu dogrulanmali.";Medium;;;Backend (API);;;;;;;;;;;;;;;;;;
;;;id(x) olaninin response body'de donen bilgileri (creator_id, webinar_id, bundle_id, start_date, end_date, discount, capacity, order, created_at, updated_at, deleted_at, title, id, ticket_id, locale, title) doðrulanmalý. ;;;;;;;;;;;;;;;;;;;;;;
;;;"/api/pricePlans endpoint'ine gecersiz (invalid token) authorization bilgileri ile bir GET request gönderildiginde dönen status code'in 401 ve response body'deki message bilgisinin ""Unauthenticated."" oldugu dogrulanmali.";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;US_012;Bir yönetici olarak API baglantisi üzerinden belirtilen id numarasýna sahip course price plan'in detaylý bilgilerine erisebilmeliyim.;"/api/pricePlan/{id} endpoint'ine gecerli authorization bilgileri ve dogru data (id) iceren bir GET request gönderildiginde dönen status code'in 200 ve response body'deki remark bilgisinin ""success"" oldugu dogrulanmali.";Low;;;Backend (API);;;;;;;;;;;;;;;;;;
;;;Response body icindeki list datalarýnýn (id, creator_id, webinar_id, bundle_id, start_date, end_date, discount, capacity, order, created_at, updated_at, deleted_at, title, id, ticket_id, locale, title) içerikleri doðrulanmali.;;;;;;;;;;;;;;;;;;;;;;
;;;"/api/pricePlan/{id} endpoint'ine gecerli authorization bilgileri ve kaydý olmayan bir (id) iceren bir GET request gönderildiginde dönen status code'in 203, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""There is not ticket for this id."" oldugu, (id) icermeyen bir GET request gönderildiginde de dönen status code'un 203, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""No id"" oldugu dogrulanmali.";;;;;;;;;;;;;;;;;;;;;;
